   0.194158558986181284E+000   0.120605182647705078E+001   0.854588594717786165E+001   0.117467314372176945E+001   0.104216998572060104E+001   0.108005624923898180E+001   0.610085052251815796E+001   0.197715678558235886E+001   0.120790275284355833E+000   0.649822711944580078E+001  -0.187468647956848145E+000   0.452235698699951172E+000  -0.997429332529836300E+090  -0.460515351937698814E+001    1
   0.144929223960048453E+000   0.214889562129974365E+001   0.141120567480068431E+002   0.148656801828329210E+001   0.481699561391764841E+000   0.659562157611147337E+000   0.620580869913101196E+001   0.183953672071634289E+001   0.117494462298064883E+001   0.638969367742538452E+001   0.839890837669372559E-001   0.784341096878051758E-001  -0.980539236586066578E+090  -0.461515351937698526E+001    1
   0.228605412011651465E+000   0.216243636608123779E+001   0.135848825222542722E+002   0.387841602253694795E+000   0.258923656832122429E+000   0.567603749371729860E+000   0.599499279260635376E+001   0.193351220019786285E+001   0.103762523577369370E+001   0.645534336566925049E+001   0.490698218345642090E-001   0.628948211669921875E-002  -0.976700778305608563E+090  -0.462515351937698327E+001    1
   0.224920044216019910E+000   0.112866234779357910E+001   0.868818278941277455E+001   0.467647740007231749E+000   0.187763052835018107E+001   0.577425782190913672E+000   0.600060844421386719E+001   0.261658478715935994E+001   0.456290213816595958E+000   0.636527395248413086E+001   0.494345366954803467E+000   0.418953001499176025E+000  -0.970653712733546779E+090  -0.463515351937698394E+001    1
   0.294502740490118431E+000   0.201798045635223389E+001   0.109069320455186833E+002   0.535354428578804997E+000   0.293703503061254312E+000   0.687762911932091825E+000   0.604511779546737671E+001   0.273372730644782758E+001   0.617714257213837437E+000   0.648510086536407471E+001  -0.242814600467681885E+000   0.268364787101745605E+000  -0.950062574753499470E+090  -0.464515351937698817E+001    1
   0.182444991108998200E+000   0.271350562572479248E+001   0.150489799780489300E+002   0.120146001595471175E+001   0.882875464263173870E+000   0.107750564385808989E+001   0.598442590236663818E+001   0.255760473262616639E+001   0.737766540647082691E+000   0.554319393634796143E+001  -0.691358447074890137E-001   0.297252178192138672E+000  -0.940386906483116773E+090  -0.465515351937698441E+001    1
   0.500418117481724156E+000   0.190606141090393066E+001   0.129222588221482120E+002   0.688771903625056914E+000   0.921530674811582018E+000   0.941483393353988118E+000   0.557460725307464600E+001   0.174385738338910312E+001   0.611315629226557022E+000   0.615787994861602783E+001   0.441756665706634521E+000   0.354295492172241211E+000  -0.926307526331164198E+090  -0.466515351937698242E+001    1
   0.111983764318119100E+000   0.275068759918212891E+001   0.158814603313120060E+002   0.151515287691729728E+001   0.867771255857503893E-001   0.293463276679958029E+000   0.601773387193679810E+001   0.199318315458458684E+001   0.131473391855475863E+001   0.573326939344406128E+001   0.407722294330596924E+000   0.125821709632873535E+000  -0.919155115902809964E+090  -0.467515351937698398E+001    1
   0.237189035009164828E+000   0.175156939029693604E+001   0.105645367557530552E+002   0.123412281179300054E+001   0.241010584780676806E+001   0.756092336876797888E+000   0.620720690488815308E+001   0.262367717731342642E+001   0.985448296666498885E-001   0.639468419551849365E+001  -0.168341159820556641E+000  -0.893338322639465332E-001  -0.912170836129165455E+090  -0.468515351937698465E+001    1
   0.217312090168958916E+000   0.122800815105438232E+001   0.134879483715799005E+002   0.145461951408664136E+001   0.136868210796878120E+001   0.152883169869395008E+001   0.639243400096893311E+001   0.171096572229597466E+001   0.117402563080103217E+001   0.568950212001800537E+001   0.113312602043151855E-001  -0.327854156494140625E-001  -0.910363716832690264E+090  -0.469515351937698355E+001    1
